iter	Passed	Remaining
0	0	840
11	2	1012	2	2	983	6	1728
4	8	1675
5	9	1637
6	12	1798
7	18	2239
8	24	2741
9	26	2644
10	29	2664
11	30	2512
12	34	2600
13	37	2670
14	40	2627
15	46	2829
16	48	2827
17	53	2931
18	55	2856
19	63	3113
20	65	3047
21	67	3002
22	70	3005
23	73	2997
24	78	3073
25	83	3143
26	87	3135
27	95	3327
28	96	3244
29	99	3212
30	112	3528
31	120	3655
32	127	3741
33	137	3908
34	172	4749
35	183	4900
36	190	4958
37	209	5296
38	213	5248
39	214	5158
40	216	5071
41	217	4964
42	220	4916
43	227	4938
44	228	4850
45	230	4779
46	231	4689
47	233	4634
48	235	4573
49	237	4518
50	238	4437
51	240	4383
52	242	4330
53	244	4281
54	267	4589
55	289	4881
56	290	4799
57	300	4879
58	303	4837
59	306	4798
60	308	4744
61	310	4691
62	312	4642
63	312	4577
64	314	4530
65	318	4510
66	337	4705
67	342	4690
68	348	4705
69	352	4680
70	354	4636
71	361	4654
72	361	4595
73	368	4616
74	371	4576
75	386	4700
76	388	4657
77	390	4615
78	391	4562
79	393	4522
80	395	4483
81	397	4444
82	398	4406
83	400	4370
84	402	4333
85	404	4298
86	404	4248
87	406	4214
88	408	4181
89	410	4148
90	412	4118
91	414	4087
92	416	4059
93	417	4019
94	423	4030
95	424	4001
96	430	4004
97	440	4055
98	448	4083
99	452	4070
100	454	4043
101	455	4010
102	456	3977
103	474	4084
104	477	4071
105	481	4058
106	482	4025
107	484	4004
108	489	3999
109	491	3979
110	493	3951
111	494	3923
112	498	3911
113	500	3888
114	502	3867
115	504	3847
116	506	3822
117	507	3795
118	509	3770
119	510	3746
120	512	3723
121	514	3700
122	515	3677
123	517	3653
124	518	3630
125	521	3614
126	522	3593
127	524	3569
128	525	3546
129	527	3527
130	529	3509
131	530	3488
132	531	3466
133	533	3446
134	534	3427
135	536	3407
136	537	3385
137	539	3370
138	540	3350
139	543	3337
140	544	3317
141	547	3307
142	550	3298
143	552	3286
144	554	3267
145	556	3252
146	557	3234
147	559	3219
148	560	3203
149	562	3185
150	563	3168
151	566	3159
152	568	3144
153	569	3127
154	571	3113
155	575	3111
156	581	3123
157	584	3113
158	587	3105
159	591	3103
160	608	3169
161	610	3156
162	612	3144
163	614	3134
164	616	3122
165	620	3115
166	622	3103
167	624	3091
168	627	3084
169	629	3071
170	631	3059
171	634	3053
172	637	3045
173	639	3036
174	641	3024
175	716	3356
176	720	3347
177	722	3337
178	725	3328
179	727	3315
180	730	3304
181	732	3291
182	735	3285
183	738	3273
184	740	3260
185	742	3249
186	744	3236
187	747	3228
188	749	3216
189	776	3309
190	789	3344
191	798	3359
192	800	3346
193	802	3333
194	804	3319
195	806	3307
196	808	3294
197	810	3281
198	812	32199	836	3345
